$k_{\rm{s}}$,$k_{\rm{c}}$,$h_{\rm{b}}$,$r_{\rm{b}}$,$l_{\rm{c}}$,$A$,$\omega$,$e_{\rm{v}}$
7.702283e-01,4.123603e-01,8.607010e-01,4.032168e-01,7.975752e-01,9.367606e-01,5.795777e-01,9.176018e-01
5.123686e-01,2.905597e-01,7.653594e-01,2.397632e-01,5.173373e-01,9.855698e-01,3.330015e-01,5.478045e-01
5.452708e-01,5.260153e-01,8.071052e-01,1.874165e-01,2.861597e-01,9.214643e-01,7.553984e-01,8.366725e-01
5.737443e-01,7.185973e-01,8.891020e-01,1.523853e-01,1.872903e-02,9.964123e-01,3.740502e-01,5.082698e-01
2.208326e-01,4.658232e-01,7.289290e-01,4.545561e-01,6.150079e-02,8.711315e-01,8.808593e-01,5.271279e-01
4.356999e-01,5.010017e-01,7.301507e-01,2.715600e-01,1.422933e-02,9.258884e-01,9.518512e-01,5.582111e-01
5.903266e-01,3.751399e-01,4.306101e-01,1.730619e-01,3.057138e-01,9.191580e-01,7.160016e-01,6.639673e-01
3.297404e-01,2.367071e-01,8.591702e-01,5.479019e-02,1.335480e-01,9.216682e-01,5.625922e-01,6.582830e-01
5.561846e-01,1.507944e-01,4.944565e-01,1.189271e-01,3.199544e-01,9.013293e-01,5.380187e-01,3.986571e-01
7.146559e-01,2.231972e-01,5.177745e-01,2.967688e-01,5.619958e-01,9.244951e-01,1.211076e-01,9.036849e-01
6.415957e-01,3.997874e-01,8.493743e-01,3.191177e-01,1.327849e-01,9.154689e-01,5.084796e-01,2.679127e-01
5.902286e-01,4.857372e-01,5.665626e-01,4.468097e-01,1.648902e-02,8.913057e-01,1.711892e-01,7.240429e-01
8.530240e-01,3.572850e-01,5.659680e-01,4.359476e-02,1.516791e-01,9.389589e-01,5.784519e-02,6.454046e-02
6.001140e-01,4.891421e-01,8.304181e-01,1.329550e-01,3.945562e-01,9.493182e-01,3.701172e-01,4.265512e-02
6.059550e-01,1.936803e-02,6.886069e-01,1.160647e-01,7.635932e-01,9.534238e-01,8.980318e-01,5.814057e-01
8.466705e-01,1.306368e-01,3.940705e-01,3.927780e-01,6.893225e-01,8.952201e-01,5.320552e-01,6.250365e-01
5.836243e-01,3.690851e-01,1.980836e-01,1.561028e-01,7.955279e-01,9.630064e-01,5.052323e-02,8.568863e-01
5.140817e-01,6.099210e-03,6.253222e-01,2.301932e-01,9.550535e-01,8.768526e-01,1.518235e-02,8.479817e-01
6.013553e-01,5.662813e-02,2.823183e-01,3.094339e-03,8.091702e-01,9.998602e-01,3.194063e-01,5.706625e-01
8.216036e-01,2.746055e-01,2.857407e-01,1.607516e-01,4.866861e-01,9.740547e-01,4.203566e-01,5.082958e-01
6.261711e-01,1.478081e-01,8.628789e-01,3.747805e-01,9.302684e-01,8.501677e-01,4.566125e-01,4.798594e-01
7.679434e-01,1.069715e-01,1.664224e-01,2.131663e-01,7.990865e-01,8.288468e-01,4.530725e-01,4.534333e-01
5.613341e-01,2.952184e-03,7.759983e-01,2.135328e-01,7.028480e-01,8.862820e-01,3.067298e-01,5.262911e-01
6.957181e-01,2.197494e-01,8.269775e-01,1.940938e-01,5.940614e-01,9.763554e-01,2.606564e-01,7.609890e-01
6.050811e-01,2.716536e-01,8.533845e-01,1.167322e-01,4.338911e-01,8.600707e-01,2.248527e-01,5.980248e-01
8.848867e-01,6.368063e-01,9.249062e-01,3.393354e-01,2.612800e-01,8.898582e-01,1.437432e-01,1.389367e-01
9.927872e-01,4.862627e-01,8.876432e-01,5.419527e-01,1.482910e-01,9.668039e-01,1.833339e-01,2.007088e-01
9.630989e-01,8.611997e-01,9.629002e-01,4.496525e-01,2.241246e-01,9.718365e-01,6.836225e-01,3.333067e-01
5.814987e-01,2.606214e-01,7.822931e-01,1.606579e-01,4.895667e-01,9.717368e-01,4.101431e-01,4.373292e-01
8.302623e-01,2.652029e-01,1.787034e-01,4.629949e-01,4.767784e-01,9.821083e-01,8.638151e-01,8.073380e-01
3.940840e-01,3.641959e-01,7.632674e-01,3.350816e-02,5.975183e-02,8.976857e-01,6.659938e-01,6.738726e-01
3.613790e-01,5.334401e-01,5.712572e-01,1.879137e-01,2.496212e-01,9.305370e-01,9.924787e-01,3.849126e-01
2.645227e-01,2.250395e-01,8.783559e-01,6.523489e-02,4.262430e-01,8.762628e-01,8.318787e-01,4.866404e-01
2.509344e-01,3.904399e-01,8.929762e-01,1.138569e-01,5.436078e-02,9.698409e-01,6.900137e-01,6.639580e-01
3.213879e-01,4.718682e-01,8.790037e-01,1.960782e-02,5.445951e-01,9.441816e-01,7.969881e-01,5.788166e-01
2.216054e-01,5.329518e-01,6.400950e-01,1.808719e-01,1.506039e-01,8.612373e-01,9.991122e-01,5.113359e-01
4.322793e-01,2.394185e-01,6.261888e-01,3.610694e-02,2.682623e-01,9.752757e-01,8.082083e-01,4.854155e-01
7.225361e-01,2.195371e-01,9.298333e-01,3.265224e-01,5.990120e-01,9.962775e-01,9.171961e-01,3.734044e-01
5.256959e-01,3.508337e-01,1.790681e-01,1.103200e-01,3.636748e-01,9.350119e-01,4.070245e-01,7.286138e-01
3.558412e-01,3.018046e-01,9.564640e-01,1.365651e-01,4.577185e-01,9.861114e-01,4.417333e-01,6.843316e-01
4.474341e-01,2.967297e-01,8.229430e-01,5.255848e-01,3.201230e-01,8.418614e-01,8.463019e-01,9.317383e-01
5.852788e-01,3.204738e-01,6.189204e-01,5.078055e-02,4.863003e-01,9.803697e-01,6.943781e-01,8.460519e-01
7.801213e-01,1.616583e-01,3.504383e-01,2.448842e-01,6.884217e-01,8.992559e-01,7.930368e-01,4.613797e-01
7.963279e-01,1.120269e-01,2.010003e-01,7.592039e-02,3.255248e-01,9.751658e-01,8.117907e-01,6.896161e-01
9.248674e-01,4.185114e-01,2.844538e-01,1.590549e-01,4.482561e-01,9.568415e-01,9.918969e-01,7.874503e-01
3.103549e-01,4.631127e-01,2.342346e-01,3.362738e-01,5.153488e-01,9.446980e-01,9.484780e-01,8.653666e-01
1.442033e-02,4.513544e-01,5.794614e-01,5.205721e-01,5.671182e-01,9.149140e-01,8.892886e-01,9.040781e-01
3.823316e-01,4.053938e-01,5.499425e-01,4.081326e-01,2.681194e-01,9.179150e-01,6.433260e-01,9.839072e-01
6.303555e-01,3.713578e-01,9.677861e-01,8.647316e-01,2.709187e-02,8.503477e-01,6.175335e-01,7.955249e-01
4.891045e-01,2.093084e-01,9.354416e-01,5.142802e-01,2.837135e-01,8.093081e-01,4.619936e-01,8.006745e-01
2.906792e-01,4.502538e-01,4.550818e-01,3.051785e-01,1.050982e-01,9.493775e-01,6.385582e-01,4.059988e-01
7.903774e-04,5.856623e-01,5.471642e-01,4.594554e-01,2.021587e-01,8.771554e-01,7.215970e-01,8.361680e-01
4.310814e-01,3.322953e-01,7.432735e-01,8.438462e-01,4.825009e-01,7.613394e-01,8.774948e-01,9.418749e-01
4.174200e-01,2.319174e-01,8.241379e-01,2.152473e-01,5.691928e-01,8.346206e-01,7.132565e-01,6.724807e-01
6.822258e-01,3.146064e-02,9.982060e-01,4.873534e-01,8.459261e-01,9.707593e-01,8.422547e-01,2.483570e-01
5.558732e-01,2.269387e-01,7.836615e-01,1.539750e-01,9.244841e-01,9.061287e-01,1.052060e-01,5.802917e-01
9.007849e-01,7.297496e-02,8.502638e-01,1.521184e-01,5.336089e-01,9.816481e-01,5.166648e-02,3.752378e-01
