$k_{\rm{s}}$,$k_{\rm{c}}$,$h_{\rm{b}}$,$r_{\rm{b}}$,$l_{\rm{c}}$,$A$,$\omega$,$e_{\rm{v}}$
4.781847e-03,3.821765e-01,2.530933e-01,4.137115e+01,3.152487e+01,1.716727e-23,4.396296e-04,5.056307e-04
6.738274e-03,3.773990e-01,2.006374e-01,4.071211e+01,6.351414e+01,2.978954e-23,5.437826e-04,2.992674e-04
1.605393e-02,3.346015e-01,2.698578e-01,4.097825e+01,4.872945e+01,2.433003e-23,4.889221e-04,3.406461e-04
1.750936e-02,3.686622e-01,3.730025e-01,4.428419e+01,2.587084e+01,2.416385e-23,1.219110e-03,4.291612e-04
8.026974e-03,3.371469e-01,2.100857e-01,4.614987e+01,2.913729e+01,2.503800e-23,1.203732e-03,6.085661e-04
1.297563e-02,5.952541e-01,5.586478e-02,2.773544e+01,9.151049e+01,2.830390e-23,1.211897e-03,2.913722e-04
1.056445e-02,5.529056e-01,1.236288e-01,4.646553e+01,8.206561e+01,2.344728e-23,4.991011e-04,4.069049e-04
9.502476e-03,4.022166e-01,9.604076e-02,4.586307e+01,7.574413e+01,1.986684e-23,2.991765e-04,5.067393e-04
1.525993e-02,3.398424e-01,5.182871e-02,5.151145e+01,5.387090e+01,2.530919e-23,7.053888e-04,2.632011e-04
4.338264e-02,4.301776e-01,6.245732e-02,3.703592e+01,2.359814e+01,1.757466e-23,2.417199e-04,4.639709e-04
4.870791e-02,3.204054e-01,9.224396e-02,6.088954e+01,8.747162e+00,1.873427e-23,4.610995e-04,3.800465e-04
1.691534e-02,4.678304e-01,8.107044e-02,7.899623e+01,1.702726e+00,2.267577e-23,2.577714e-04,4.998361e-04
1.764546e-02,4.372486e-01,2.044620e-01,4.731643e+01,1.137983e+01,3.297011e-23,6.006122e-04,5.742598e-04
2.680995e-02,4.782302e-01,2.337781e-01,7.890619e+01,9.203540e+01,3.632739e-23,1.704232e-03,4.846654e-04
4.478110e-02,5.192717e-01,1.800064e-01,7.033980e+01,2.095125e+01,3.247234e-23,1.288403e-03,4.044666e-04
1.519269e-02,3.857508e-01,8.418484e-02,5.972749e+01,9.619193e+01,3.082075e-23,8.614561e-04,2.548575e-04
6.001429e-03,2.460516e-01,5.200818e-02,7.479485e+01,6.294776e+01,2.698625e-23,3.231110e-04,2.148632e-04
4.426217e-02,5.848437e-01,1.128677e-01,4.616646e+01,1.745353e+01,5.175886e-23,4.368995e-04,4.422058e-04
8.806206e-03,3.409273e-01,2.632377e-01,3.567324e+01,1.544003e+01,2.029630e-23,9.052245e-04,2.892618e-04
8.486859e-03,3.447502e-01,7.909370e-01,7.782767e+01,9.411448e+01,2.422820e-23,3.188424e-04,5.003223e-04
7.365327e-03,4.382796e-01,7.209287e-01,4.491135e+01,8.860161e+01,3.077047e-23,7.162540e-04,5.125777e-04
1.342414e-02,3.656215e-01,1.351631e-01,4.510973e+01,7.012042e+01,2.655072e-23,4.440393e-04,7.338165e-04
3.910517e-02,5.405254e-01,2.703152e-01,3.696256e+01,7.526911e+01,3.108300e-23,1.632374e-03,5.507932e-04
1.521935e-02,2.759699e-01,8.595346e-02,4.316105e+01,8.061919e+01,2.069357e-23,9.936632e-04,3.767357e-04
9.466110e-03,3.966637e-01,6.568812e-02,5.559879e+01,5.866898e+01,3.348716e-23,3.732711e-04,6.114268e-04
9.832878e-03,2.975658e-01,7.922659e-02,3.241940e+01,6.942684e+01,3.739010e-23,3.270534e-04,8.667929e-04
9.315115e-03,5.047494e-01,2.283238e-01,5.021436e+01,3.723104e+01,2.576918e-23,3.407596e-04,4.158077e-04
7.574455e-03,4.116215e-01,2.443715e-01,3.139993e+01,9.580303e+00,2.782257e-23,2.388361e-04,6.155761e-04
2.208737e-02,4.611781e-01,2.042792e-01,6.265070e+01,2.435239e+01,3.417825e-23,2.929367e-04,6.060413e-04
1.269618e-02,4.777612e-01,9.486512e-02,3.586148e+01,3.933411e+01,3.368521e-23,3.778397e-04,4.687443e-04
3.248684e-02,4.844365e-01,1.218977e-01,5.585915e+01,7.194641e+01,2.497780e-23,1.353792e-03,6.242097e-04
2.018290e-02,4.561689e-01,1.303022e-01,4.626496e+01,2.291716e+01,3.049421e-23,1.156979e-03,4.526106e-04
7.453198e-03,3.106481e-01,2.896964e-01,4.963689e+01,2.809839e+01,1.990227e-23,3.245265e-04,4.532129e-04
4.494940e-02,4.111507e-01,1.702673e-01,7.025662e+01,2.553852e+01,2.588186e-23,1.262519e-03,4.354551e-04
2.376256e-02,4.355112e-01,1.413889e-01,8.269550e+01,2.598839e+00,2.671032e-23,6.933071e-04,3.889687e-04
9.263659e-02,4.206566e-01,2.481724e-01,8.157692e+01,4.529421e+00,2.146044e-23,6.566282e-04,3.739233e-04
5.485235e-02,5.821483e-01,1.677052e-01,9.769381e+01,2.078651e+00,1.859545e-23,8.248959e-04,3.394113e-04
2.104973e-02,5.015761e-01,1.005002e-01,8.784410e+01,7.587193e+00,2.333190e-23,4.734790e-04,5.067630e-04
5.262762e-02,3.100170e-01,9.728995e-02,5.052995e+01,3.714945e+01,3.295860e-23,2.077618e-04,4.154998e-04
1.202244e-02,5.071497e-01,1.447304e-01,7.291099e+01,3.147716e+01,2.929336e-23,4.547579e-04,4.770778e-04
3.416668e-02,3.920320e-01,7.173046e-02,4.399648e+01,1.473446e+01,1.905506e-23,4.339343e-04,4.736297e-04
3.201140e-02,5.461323e-01,2.071699e-01,9.185837e+01,2.551870e+01,3.800428e-23,3.412426e-04,3.829983e-04
1.835475e-02,5.307776e-01,1.165371e-01,6.395108e+01,2.591375e+01,2.628007e-23,2.556848e-04,4.792236e-04
1.522925e-02,3.543245e-01,4.172801e-01,4.294148e+01,1.503326e+01,1.990879e-23,2.520729e-04,4.313579e-04
1.633456e-02,4.932657e-01,7.409567e-02,5.026024e+01,1.134148e+01,3.893997e-23,1.185090e-03,4.262047e-04
4.836353e-02,4.965234e-01,1.127348e-01,7.076710e+01,1.091424e+01,3.967826e-23,8.970345e-04,2.968016e-04
1.075662e-02,5.145327e-01,1.076535e-01,3.997827e+01,4.098198e+01,3.340280e-23,1.255756e-03,5.914444e-04
7.471707e-03,2.680337e-01,4.188661e-01,5.791702e+01,2.380857e+01,1.956056e-23,5.331291e-04,3.374993e-04
5.003142e-03,4.228181e-01,8.769014e-02,3.745569e+01,9.968015e+01,2.538626e-23,4.870419e-04,6.463264e-04
9.851958e-03,3.234251e-01,2.342178e-01,5.412557e+01,4.003527e+01,1.926377e-23,7.285809e-04,5.242010e-04
1.273180e-02,3.056193e-01,8.266339e-02,4.935577e+01,7.619460e+01,2.222396e-23,4.191256e-04,3.118631e-04
3.132747e-02,5.012529e-01,1.616908e-01,4.354092e+01,4.569699e+01,2.649737e-23,5.289806e-04,4.311997e-04
9.806766e-02,3.765197e-01,5.864316e-02,4.508898e+01,9.149745e+00,2.042064e-23,3.409742e-04,5.314221e-04
2.169791e-02,3.522033e-01,7.061857e-02,5.383867e+01,1.645727e+01,1.437138e-23,4.449059e-04,4.587720e-04
3.973091e-02,4.734502e-01,2.088961e-01,5.696071e+01,5.154191e+00,2.823721e-23,9.422162e-04,3.932117e-04
4.197849e-02,4.936580e-01,2.501178e-01,8.901441e+01,6.569637e+00,2.711841e-23,3.454274e-04,5.041328e-04
2.444217e-02,3.295847e-01,3.407348e-01,4.916545e+01,1.107504e+01,1.996164e-23,1.077769e-03,4.321337e-04
2.518982e-02,5.850869e-01,1.279609e-01,2.966255e+01,5.964870e+01,2.489072e-23,1.786329e-03,5.936739e-04
