$k_{\rm{s}}$,$k_{\rm{c}}$,$h_{\rm{b}}$,$r_{\rm{b}}$,$l_{\rm{c}}$,$A$,$\omega$,$e_{\rm{v}}$
3.397979e-01,5.822640e-01,5.413485e-01,6.166976e-01,7.493266e-01,6.173506e-01,6.579431e-01,7.038334e-01
4.142743e-01,5.768007e-01,4.638186e-01,6.097237e-01,9.014352e-01,7.370319e-01,5.656047e-01,4.760594e-01
6.027907e-01,5.245278e-01,5.627579e-01,6.125534e-01,8.438957e-01,6.930713e-01,6.117903e-01,5.323034e-01
6.216351e-01,5.666286e-01,6.708083e-01,6.462487e-01,7.064052e-01,6.915831e-01,2.149872e-01,6.326204e-01
4.522759e-01,5.278192e-01,4.791792e-01,6.641705e-01,7.322246e-01,6.992998e-01,2.205003e-01,7.843078e-01
5.565642e-01,7.747024e-01,3.702301e-02,4.430350e-01,9.807354e-01,7.259232e-01,2.175641e-01,4.644481e-01
5.119234e-01,7.426510e-01,3.021833e-01,6.671309e-01,9.570806e-01,6.850462e-01,6.028415e-01,6.094929e-01
4.889184e-01,6.044600e-01,2.178932e-01,6.614631e-01,9.396745e-01,6.490644e-01,8.251025e-01,7.047846e-01
5.917763e-01,5.312775e-01,1.199081e-02,7.119038e-01,8.656771e-01,7.016392e-01,4.526014e-01,4.202877e-01
8.186580e-01,6.336478e-01,7.425911e-02,5.686231e-01,6.864389e-01,6.224435e-01,9.177176e-01,6.664907e-01
8.437997e-01,5.056998e-01,2.044287e-01,7.845427e-01,4.709336e-01,6.363184e-01,6.372353e-01,5.798367e-01
6.141404e-01,6.700884e-01,1.613280e-01,8.976064e-01,1.155723e-01,6.777810e-01,8.897952e-01,6.988276e-01
6.233165e-01,6.407284e-01,4.701219e-01,6.750120e-01,5.280679e-01,7.590602e-01,5.224358e-01,7.591084e-01
7.141480e-01,6.796370e-01,5.148489e-01,8.971111e-01,9.819774e-01,7.801171e-01,6.950135e-02,6.854421e-01
8.255474e-01,7.153946e-01,4.275980e-01,8.472011e-01,6.606050e-01,7.557568e-01,1.909783e-01,6.068827e-01
5.908174e-01,5.863069e-01,1.739113e-01,7.761743e-01,9.915693e-01,7.444216e-01,3.657968e-01,4.062975e-01
3.891273e-01,3.910261e-01,1.314469e-02,8.738717e-01,8.994901e-01,7.155713e-01,7.916782e-01,3.321621e-01
8.230163e-01,7.670398e-01,2.717843e-01,6.643266e-01,6.209417e-01,8.569923e-01,6.606484e-01,6.456244e-01
4.723944e-01,5.326618e-01,5.544669e-01,5.523426e-01,5.943241e-01,6.537084e-01,3.442737e-01,4.612911e-01
4.643735e-01,5.375046e-01,9.217096e-01,8.911340e-01,9.868282e-01,6.921606e-01,7.974540e-01,6.992499e-01
4.335960e-01,6.417513e-01,8.907729e-01,6.523561e-01,9.737208e-01,7.440671e-01,4.459629e-01,7.097597e-01
5.639432e-01,5.630318e-01,3.319587e-01,6.542702e-01,9.229223e-01,7.120382e-01,6.536086e-01,8.655875e-01
7.961171e-01,7.328161e-01,5.633232e-01,5.677620e-01,9.383084e-01,7.462615e-01,8.821032e-02,7.409885e-01
5.911980e-01,4.408617e-01,1.808516e-01,6.350920e-01,9.532192e-01,6.579177e-01,3.037908e-01,5.760367e-01
4.880858e-01,5.984224e-01,9.109462e-02,7.450653e-01,8.842043e-01,7.624391e-01,7.290057e-01,7.863445e-01
4.963403e-01,4.735830e-01,1.536482e-01,5.108050e-01,9.207637e-01,7.863783e-01,7.864113e-01,9.379154e-01
4.845941e-01,7.030758e-01,5.069685e-01,7.008279e-01,7.854526e-01,7.055503e-01,7.685819e-01,6.188925e-01
4.396757e-01,6.144981e-01,5.296424e-01,4.969287e-01,4.906896e-01,7.221986e-01,9.229301e-01,7.892818e-01
6.720720e-01,6.638687e-01,4.698232e-01,7.969259e-01,6.932708e-01,7.668749e-01,8.342562e-01,7.825022e-01
5.518365e-01,6.792109e-01,2.137818e-01,5.546283e-01,7.973846e-01,7.637196e-01,7.237224e-01,6.709360e-01
7.558538e-01,6.852369e-01,2.974763e-01,7.470943e-01,9.285046e-01,6.987771e-01,1.694781e-01,7.953305e-01
6.524918e-01,6.591257e-01,3.197327e-01,6.652521e-01,6.800804e-01,7.421087e-01,2.377044e-01,6.557248e-01
4.361713e-01,4.922688e-01,5.864377e-01,6.958046e-01,7.243407e-01,6.494513e-01,7.897798e-01,6.563022e-01
8.263619e-01,6.140010e-01,4.090308e-01,8.466872e-01,7.035979e-01,7.064978e-01,1.997919e-01,6.389433e-01
6.879466e-01,6.389993e-01,3.469906e-01,9.174819e-01,2.073897e-01,7.133396e-01,4.601044e-01,5.899146e-01
9.833913e-01,6.239277e-01,5.347944e-01,9.115673e-01,3.280214e-01,6.658193e-01,4.837105e-01,5.727825e-01
8.695976e-01,7.650336e-01,4.039695e-01,9.898670e-01,1.588908e-01,6.347034e-01,3.846309e-01,5.307263e-01
6.616233e-01,7.003368e-01,2.330437e-01,9.437126e-01,4.400406e-01,6.839751e-01,6.257292e-01,7.048049e-01
8.606069e-01,4.913855e-01,2.222070e-01,7.035488e-01,7.849762e-01,7.589844e-01,9.834643e-01,6.185708e-01
5.399963e-01,7.051361e-01,3.547879e-01,8.627930e-01,7.489978e-01,7.333846e-01,6.432497e-01,6.785892e-01
7.668014e-01,5.933215e-01,1.204689e-01,6.434179e-01,5.841671e-01,6.400052e-01,6.636060e-01,6.754390e-01
7.526523e-01,7.372979e-01,4.745138e-01,9.631187e-01,7.034293e-01,7.899163e-01,7.679668e-01,5.831968e-01
6.318742e-01,7.249126e-01,2.824639e-01,8.058479e-01,7.067651e-01,7.098132e-01,8.933250e-01,6.805382e-01
5.913392e-01,5.494012e-01,7.082524e-01,6.328770e-01,5.885266e-01,6.495224e-01,8.995038e-01,6.348377e-01
6.065537e-01,6.930810e-01,1.312981e-01,7.012246e-01,5.273349e-01,7.951978e-01,2.272786e-01,6.296182e-01
8.422590e-01,6.959398e-01,2.713910e-01,8.498314e-01,5.189968e-01,7.992763e-01,3.482209e-01,4.724662e-01
5.158378e-01,7.114130e-01,2.559957e-01,6.018240e-01,8.062964e-01,7.618914e-01,2.021248e-01,7.719139e-01
4.367099e-01,4.281894e-01,7.095188e-01,7.628062e-01,6.883666e-01,6.456906e-01,5.741976e-01,5.282729e-01
3.496214e-01,6.261536e-01,1.875289e-01,5.735178e-01,9.993043e-01,7.022994e-01,6.134637e-01,8.104519e-01
4.967613e-01,5.097737e-01,5.154762e-01,7.334025e-01,8.012214e-01,6.423707e-01,4.385522e-01,7.194979e-01
5.524449e-01,4.851808e-01,1.678234e-01,6.933379e-01,9.409621e-01,6.734108e-01,6.786858e-01,4.939640e-01
7.479627e-01,7.000569e-01,3.917783e-01,6.388976e-01,8.299438e-01,7.116013e-01,5.775902e-01,6.346785e-01
9.957629e-01,5.757877e-01,5.322505e-02,6.540704e-01,4.807045e-01,6.550347e-01,7.683084e-01,7.254396e-01
6.682089e-01,5.467934e-01,1.152540e-01,7.310943e-01,6.081789e-01,5.787493e-01,6.527619e-01,6.615969e-01
7.995642e-01,6.752743e-01,4.772836e-01,7.555754e-01,3.560802e-01,7.254109e-01,3.268794e-01,5.946264e-01
8.115134e-01,6.934261e-01,5.374008e-01,9.494603e-01,4.087707e-01,7.166321e-01,7.626732e-01,7.025449e-01
6.940699e-01,5.179670e-01,6.406052e-01,6.916600e-01,5.221726e-01,6.500981e-01,2.685042e-01,6.356182e-01
7.006125e-01,7.672204e-01,3.136802e-01,4.722085e-01,8.878005e-01,6.980187e-01,4.906858e-02,7.735480e-01
2.661663e-01,6.454572e-01,3.619785e-01,2.145735e-01,9.591280e-01,7.293943e-01,4.942952e-01,7.200994e-01
5.910730e-01,4.913812e-01,7.531390e-01,7.355235e-01,8.798325e-01,7.218399e-01,5.164125e-01,7.248609e-01
4.959836e-01,5.546183e-01,5.975474e-01,5.214124e-01,5.054988e-01,6.167523e-01,5.608505e-01,6.413760e-01
4.410794e-01,6.003252e-01,3.456477e-01,4.392285e-01,9.405045e-02,5.782500e-01,7.434144e-01,7.769388e-01
3.613170e-01,5.053464e-01,1.000886e-01,3.804100e-01,3.804020e-01,6.136497e-01,9.734952e-01,6.669680e-01
7.098589e-01,7.260030e-01,1.056419e-01,3.798413e-01,3.414540e-01,7.758888e-01,6.778910e-01,8.615210e-01
3.735497e-01,6.237331e-01,2.339069e-01,3.417712e-01,4.776552e-01,6.134747e-01,3.661341e-01,5.119763e-01
6.436519e-01,5.104219e-01,5.458420e-01,7.067588e-01,6.891918e-01,7.366937e-01,1.318117e-01,6.511000e-01
6.734875e-01,5.526414e-01,8.958736e-01,9.306634e-01,2.451051e-01,6.343376e-01,5.849606e-01,6.385027e-01
9.421827e-01,5.641107e-01,5.201085e-01,8.580215e-01,8.492236e-03,6.468432e-01,9.626327e-01,5.195818e-01
6.941618e-01,6.698482e-01,2.280962e-01,8.365102e-01,2.239660e-01,6.882096e-01,5.216980e-01,6.809976e-01
6.747779e-01,7.563082e-01,1.065746e-01,6.539136e-01,9.159863e-01,7.186227e-01,4.828962e-01,6.986475e-01
4.608833e-01,5.590514e-01,6.138937e-02,7.425706e-01,7.637252e-01,7.856833e-01,6.855481e-01,2.946141e-01
6.855461e-01,7.402869e-01,1.986627e-02,7.685889e-01,4.065729e-01,7.980136e-01,3.173974e-01,5.858921e-01
8.650360e-01,7.569679e-01,2.820291e-01,8.351405e-01,4.388807e-01,7.138485e-01,5.104808e-01,6.161416e-01
7.019872e-01,7.080638e-01,3.860799e-01,8.321425e-01,2.639753e-01,7.397686e-01,9.634876e-01,7.090935e-01
7.197755e-01,7.121969e-01,2.115805e-02,8.590958e-01,3.738731e-01,6.154676e-01,5.340726e-01,5.735336e-01
8.127745e-01,8.436232e-01,1.487385e-01,9.892293e-01,6.850722e-01,7.272879e-01,9.058908e-01,5.138969e-01
4.996822e-01,6.052154e-01,3.215610e-01,4.638447e-01,9.365120e-01,7.139958e-01,6.974187e-01,6.019534e-01
3.818722e-01,6.201526e-01,2.617466e-02,5.741827e-01,4.536727e-01,7.482441e-01,8.244554e-01,6.939073e-01
5.540893e-01,6.552026e-01,2.352994e-01,5.103651e-01,7.597771e-01,7.167454e-01,7.495864e-01,6.411920e-01
6.641526e-01,5.095061e-01,1.682711e-01,6.374256e-01,7.143330e-01,6.929094e-01,6.998751e-01,5.305849e-01
9.146537e-01,6.642981e-01,2.614464e-01,8.515820e-01,3.006831e-01,7.249288e-01,3.149262e-01,5.807524e-01
6.806490e-01,7.294207e-01,2.537051e-02,9.413532e-01,4.224982e-01,6.754344e-01,4.421882e-01,6.787097e-01
7.957692e-01,6.738222e-01,1.603603e-01,5.604578e-01,5.573798e-01,7.837166e-01,1.377121e-01,7.811584e-01
8.417530e-01,6.219819e-01,2.029457e-01,7.006689e-01,8.813778e-01,7.249077e-01,3.074838e-01,6.430566e-01
3.919183e-01,5.550027e-01,1.043299e-01,6.066494e-01,8.277948e-01,6.773655e-01,4.682186e-01,8.397525e-01
8.375444e-01,6.662154e-01,8.236046e-01,9.244724e-01,8.080485e-01,7.058203e-01,9.573258e-01,6.654422e-01
8.455990e-01,7.194874e-01,3.921652e-01,8.587030e-01,8.362661e-01,8.264673e-01,9.745356e-01,7.491071e-01
6.065830e-01,6.336726e-01,1.454658e-02,8.972980e-01,9.699700e-01,7.903920e-01,9.182233e-01,5.112472e-01
5.051785e-01,4.148826e-01,1.840958e-01,8.074288e-01,7.629624e-01,5.816219e-01,9.043459e-01,6.267121e-01
4.943731e-01,5.347573e-01,4.571360e-01,7.590501e-01,5.663134e-01,6.487364e-01,6.340730e-01,6.595195e-01
4.762564e-01,5.341350e-01,8.054487e-02,8.760460e-01,5.937407e-01,6.432739e-01,2.653566e-01,6.525743e-01
6.361375e-01,5.587508e-01,3.766825e-02,6.767573e-01,6.152767e-01,7.200811e-01,4.582041e-02,5.633097e-01
5.394758e-01,6.546593e-01,1.375340e-02,8.037161e-01,6.168603e-01,6.720474e-01,7.243165e-01,6.154013e-01
5.964184e-01,5.973786e-01,8.633050e-02,6.713920e-01,7.286573e-01,7.218231e-01,9.314418e-01,5.806956e-01
5.936378e-01,6.617203e-01,6.120565e-02,8.111473e-01,5.002788e-01,7.781508e-01,7.291019e-01,5.576999e-01
6.427789e-01,6.860085e-01,1.312413e-02,8.525578e-01,5.382282e-01,7.587106e-01,7.474444e-01,6.248549e-01
8.953963e-01,7.405282e-01,4.887478e-01,7.899589e-01,3.991991e-01,7.339072e-01,5.160605e-01,7.411419e-01
4.187519e-01,6.777061e-01,7.149114e-02,5.795470e-01,7.082540e-01,7.084372e-01,2.489840e-01,6.154226e-01
5.261738e-01,5.563116e-01,1.831911e-01,4.164759e-01,7.753321e-01,6.850207e-01,8.458526e-01,7.327840e-01
7.158058e-01,7.711406e-01,2.324065e-01,5.022022e-01,6.722951e-01,7.198400e-01,8.001192e-01,7.309747e-01
6.426893e-01,7.073613e-01,3.335560e-01,6.354363e-01,8.041624e-01,7.561261e-01,2.371650e-01,5.135267e-01
6.980066e-01,6.699387e-01,5.199958e-01,7.987018e-01,4.733896e-01,6.865615e-01,5.848619e-01,6.370537e-01
8.530207e-01,8.903922e-01,6.172107e-01,8.687662e-01,7.789239e-01,8.858931e-01,7.769969e-01,7.824340e-01
6.683338e-01,6.490886e-01,4.326872e-01,5.270771e-01,9.377998e-01,7.005329e-01,6.179550e-01,7.016182e-01
7.934380e-01,4.971230e-01,5.202014e-01,8.263964e-01,8.382226e-01,6.312973e-01,5.479157e-01,4.510446e-01
4.778034e-01,3.825843e-01,3.501692e-01,9.253713e-01,7.833271e-01,5.826386e-01,6.980430e-01,7.581462e-01
6.962280e-01,7.049329e-01,2.622539e-02,9.474736e-01,5.628376e-01,7.155006e-01,5.743901e-01,6.638345e-01
6.008798e-01,6.485128e-01,2.219088e-01,7.603375e-01,4.686756e-01,7.129743e-01,8.310936e-01,7.609610e-01
5.640014e-01,4.874164e-01,7.571006e-01,9.989720e-01,8.516181e-01,7.499308e-01,5.647532e-01,4.274776e-01
5.963386e-02,7.266169e-01,9.822407e-01,4.057631e-01,7.611730e-01,6.637399e-01,3.724256e-01,8.107083e-01
6.518197e-01,4.928680e-01,8.517525e-01,6.440761e-01,4.807651e-01,7.021400e-01,4.443719e-01,6.534998e-01
2.918701e-01,5.028971e-01,8.525929e-01,7.600670e-01,8.522219e-01,5.996343e-01,1.538584e-01,5.295429e-01
5.103217e-01,5.907645e-01,6.993705e-01,7.080138e-01,8.192258e-01,6.369239e-01,4.093664e-01,7.072924e-01
3.857150e-01,5.756793e-01,2.064825e-01,7.222160e-01,6.610352e-01,6.802834e-01,4.645470e-01,7.276720e-01
3.493306e-01,5.561614e-01,3.117523e-01,5.156559e-01,1.837752e-01,6.514102e-01,9.418565e-01,7.143487e-01
3.967790e-01,7.300126e-01,1.042871e-01,3.326788e-01,3.994250e-01,6.710256e-01,6.777856e-01,7.498466e-01
6.850183e-01,6.802189e-01,1.884069e-01,5.542998e-01,8.037266e-01,6.920369e-01,6.352948e-01,7.155395e-01
6.418854e-01,7.244139e-01,6.621140e-02,7.765779e-01,5.692808e-01,7.256696e-01,4.654565e-01,6.911605e-01
7.346001e-01,7.453755e-01,1.838399e-01,8.367283e-01,3.567998e-01,7.800234e-01,6.221198e-01,6.307372e-01
7.670362e-01,7.220361e-01,2.719189e-02,7.101556e-01,6.443536e-01,7.146421e-01,2.252137e-01,6.104370e-01
5.793608e-01,7.228994e-01,8.317488e-02,8.146356e-01,6.311870e-01,7.100335e-01,4.073086e-01,6.157906e-01
