$k_{\rm{s}}$,$k_{\rm{c}}$,$h_{\rm{b}}$,$r_{\rm{b}}$,$l_{\rm{c}}$,$A$,$\omega$,$e_{\rm{v}}$
-2.523985e+00,-4.585107e-01,-1.281489e+00,1.378586e+00,6.640433e-01,-2.273647e+01,-2.739941e+00,-3.057167e+00
-1.012271e+00,-1.155316e+00,-3.149538e-01,1.769598e+00,1.917189e+00,-2.333459e+01,-3.371293e+00,-3.589495e+00
-1.808759e+00,-9.868627e-01,-8.961565e-01,1.244031e+00,1.018929e+00,-2.364362e+01,-2.962162e+00,-3.913430e+00
-3.320518e+00,-1.679706e+00,-5.770387e-01,1.607764e+00,2.809273e-01,-2.230435e+01,-3.593513e+00,-3.443817e+00
-3.733474e+00,-6.591540e-01,-1.624151e-01,1.689306e+00,6.604213e-02,-2.298252e+01,-3.170032e+00,-3.773860e+00
-2.245406e+00,-1.976996e+00,-1.129078e+00,1.084362e+00,1.327552e+00,-2.307288e+01,-3.569938e+00,-3.368421e+00
-1.542439e+00,-1.308234e-01,-4.245002e-01,1.933171e+00,1.741426e+00,-2.388982e+01,-2.892484e+00,-3.130605e+00
-3.030920e+00,-1.452631e+00,-7.437463e-01,1.293136e+00,9.960370e-01,-2.204256e+01,-3.292390e+00,-3.723209e+00
-3.205846e+00,-8.619095e-01,-3.738346e-01,1.000099e+00,1.827474e+00,-2.245134e+01,-3.085517e+00,-3.859973e+00
-1.741055e+00,-1.554751e+00,-6.927937e-01,1.648074e+00,5.660248e-01,-2.360408e+01,-3.466868e+00,-3.267278e+00
-2.443746e+00,-3.335864e-01,-3.043040e-02,1.369456e+00,4.959014e-01,-2.342101e+01,-2.870497e+00,-3.231748e+00
-3.908675e+00,-1.030393e+00,-9.968063e-01,1.982332e+00,1.241229e+00,-2.251138e+01,-3.251848e+00,-3.637096e+00
-3.524712e+00,-5.748572e-03,-8.658000e-01,1.814852e+00,1.417050e+00,-2.220517e+01,-2.761930e+00,-3.080551e+00
-1.989813e+00,-1.327553e+00,-5.463946e-01,1.458812e+00,1.638430e-01,-2.386591e+01,-3.411836e+00,-3.550134e+00
-1.193051e+00,-5.341081e-01,-1.169812e+00,1.554812e+00,7.808529e-01,-2.317493e+01,-3.046683e+00,-3.952790e+00
