$k_{\rm{s}}$,$k_{\rm{c}}$,$h_{\rm{b}}$,$r_{\rm{b}}$,$l_{\rm{c}}$,$A$,$\omega$,$e_{\rm{v}}$
2.992370e-03,3.479279e-01,5.230118e-02,2.391034e+01,4.613636e+00,1.834545e-23,1.819948e-03,8.766642e-04
9.721397e-02,6.993332e-02,4.842239e-01,5.882984e+01,8.263982e+01,4.628214e-24,4.253116e-04,2.573388e-04
1.553250e-02,1.030712e-01,1.270116e-01,1.754005e+01,1.044551e+01,2.271872e-24,1.091034e-03,1.220590e-04
4.780590e-04,2.090710e-02,2.648264e-01,4.052882e+01,1.909534e+00,4.961888e-23,2.549686e-04,3.599014e-04
1.847249e-04,2.192027e-01,6.879944e-01,4.889972e+01,1.164239e+00,1.041076e-23,6.760329e-04,1.683216e-04
5.683214e-03,1.054396e-02,7.428850e-02,1.214402e+01,2.125946e+01,8.455110e-24,2.691918e-04,4.281332e-04
2.867878e-02,7.399061e-01,3.762702e-01,8.573759e+01,5.513478e+01,1.288789e-24,1.280903e-03,7.402779e-04
9.312783e-04,3.526705e-02,1.804071e-01,1.963975e+01,9.909163e+00,9.066511e-23,5.100473e-04,1.891432e-04
6.225203e-04,1.374328e-01,4.228296e-01,1.000228e+01,6.721620e+01,3.537235e-23,8.212648e-04,1.380470e-04
1.815288e-02,2.787721e-02,2.028646e-01,4.447066e+01,3.681500e+00,2.488413e-24,3.412966e-04,5.404082e-04
3.599596e-03,4.638885e-01,9.323299e-01,2.341297e+01,3.132574e+00,3.793020e-24,1.347421e-03,5.864780e-04
1.234029e-04,9.324100e-02,1.007381e-01,9.601334e+01,1.742726e+01,3.080502e-23,5.599538e-04,2.306235e-04
2.987360e-04,9.868506e-01,1.362072e-01,6.529074e+01,2.612462e+01,6.234936e-23,1.730095e-03,8.307098e-04
1.023735e-02,4.703782e-02,2.841878e-01,2.876156e+01,1.458287e+00,1.361742e-24,3.874035e-04,2.817510e-04
6.411344e-02,2.923424e-01,6.763751e-02,3.587669e+01,6.037440e+00,6.684443e-24,8.980844e-04,1.114832e-04
1.868729e-03,1.406207e-02,6.266274e-01,1.484180e+01,3.303056e+01,1.686360e-23,2.010994e-04,3.798109e-04
1.522303e-03,2.523477e-01,2.206438e-01,7.725976e+01,2.183521e+00,1.664909e-24,4.467050e-04,1.016171e-04
5.224053e-02,1.600569e-02,4.674432e-01,1.889476e+01,1.217501e+01,6.582744e-23,1.985942e-03,3.978046e-04
8.325758e-03,8.594963e-01,9.047577e-02,5.511306e+01,9.642958e+01,1.344078e-23,2.315649e-04,7.967342e-04
2.429992e-04,5.500042e-02,8.633408e-01,1.242879e+01,5.269778e+00,6.141960e-24,1.029481e-03,3.132984e-04
1.524823e-04,5.386667e-01,3.141661e-01,1.593450e+01,8.641892e+00,3.151870e-24,2.964126e-04,6.121894e-04
4.448419e-03,8.174185e-02,1.481477e-01,3.858947e+01,4.738667e+01,3.873265e-23,7.164624e-04,2.076323e-04
