$k_{\rm{s}}$,$k_{\rm{c}}$,$h_{\rm{b}}$,$r_{\rm{b}}$,$l_{\rm{c}}$,$A$,$\omega$,$e_{\rm{v}}$
3.471015e-02,2.584404e-01,6.588216e-01,2.530561e+01,3.936865e+01,7.473453e-23,5.265654e-04,8.271834e-04
1.058613e-02,1.952359e-01,4.951372e-01,1.736854e+01,1.083115e+01,9.357066e-23,9.290274e-04,3.530242e-04
1.231804e-02,3.357494e-01,5.610971e-01,1.539630e+01,3.735247e+00,6.965119e-23,3.512623e-04,6.865506e-04
1.404393e-02,5.231151e-01,7.173290e-01,1.420317e+01,1.090079e+00,9.836138e-23,8.452395e-04,3.223071e-04
2.764809e-03,2.922962e-01,4.439443e-01,2.848106e+01,1.327399e+00,5.524119e-23,2.631302e-04,3.366107e-04
7.437034e-03,3.169580e-01,4.455721e-01,1.868788e+01,1.067723e+00,7.108482e-23,2.234492e-04,3.615856e-04
1.515840e-02,2.372138e-01,1.816380e-01,1.489574e+01,4.087215e+00,6.891534e-23,3.846170e-04,4.612829e-04
4.565421e-03,1.724674e-01,6.558072e-01,1.134463e+01,1.849677e+00,6.971662e-23,5.475676e-04,4.552846e-04
1.295297e-02,1.415124e-01,2.199240e-01,1.315004e+01,4.364243e+00,6.348316e-23,5.794438e-04,2.504131e-04
2.687273e-02,1.671850e-01,2.358360e-01,1.980472e+01,1.330429e+01,7.063015e-23,1.513291e-03,8.010966e-04
1.919514e-02,2.510657e-01,6.368416e-01,2.085056e+01,1.843189e+00,6.775445e-23,6.202266e-04,1.853159e-04
1.515155e-02,3.060111e-01,2.729512e-01,2.797755e+01,1.078892e+00,6.061937e-23,1.348468e-03,5.297157e-04
5.082155e-02,2.276591e-01,2.724654e-01,1.105592e+01,2.010751e+00,7.549494e-23,1.750591e-03,1.160220e-04
1.585725e-02,3.084197e-01,6.016846e-01,1.358173e+01,6.153362e+00,7.918381e-23,8.529288e-04,1.103202e-04
1.628959e-02,1.045606e-01,3.934307e-01,1.306365e+01,3.366560e+01,8.069520e-23,2.529287e-04,3.814219e-04
4.935611e-02,1.350942e-01,1.628049e-01,2.470461e+01,2.391361e+01,6.172202e-23,5.874552e-04,4.217319e-04
1.469768e-02,2.339296e-01,9.050710e-02,1.432527e+01,3.899921e+01,8.433595e-23,1.780356e-03,7.192606e-04
1.066997e-02,1.014143e-01,3.254865e-01,1.698999e+01,8.130308e+01,5.671594e-23,1.931291e-03,7.046633e-04
1.594816e-02,1.139274e-01,1.164862e-01,1.007150e+01,4.152794e+01,9.993565e-23,9.585696e-04,3.721024e-04
4.397514e-02,1.881939e-01,1.176867e-01,1.447944e+01,9.405291e+00,8.873797e-23,7.597547e-04,3.223263e-04
1.787896e-02,1.405426e-01,6.631340e-01,2.370176e+01,7.253320e+01,5.015744e-23,6.989040e-04,3.018974e-04
3.434685e-02,1.279297e-01,8.231720e-02,1.633677e+01,3.964360e+01,4.546673e-23,7.046242e-04,2.840752e-04
1.326380e-02,1.006821e-01,5.111721e-01,1.635057e+01,2.545048e+01,5.923303e-23,9.869614e-04,3.359627e-04
2.462840e-02,1.658629e-01,5.955147e-01,1.563485e+01,1.542136e+01,8.968312e-23,1.097422e-03,5.767518e-04
1.622416e-02,1.869191e-01,6.445384e-01,1.308375e+01,7.375341e+00,5.249784e-23,1.191728e-03,3.963006e-04
5.885365e-02,4.333176e-01,7.985475e-01,2.184416e+01,3.330887e+00,6.021663e-23,1.436438e-03,1.377009e-04
9.673294e-02,3.063816e-01,7.142009e-01,3.482994e+01,1.979621e+00,8.582380e-23,1.311282e-03,1.587482e-04
8.437188e-02,7.264400e-01,8.948126e-01,2.816129e+01,2.807043e+00,8.783609e-23,4.143883e-04,2.154303e-04
1.455450e-02,1.822306e-01,5.209030e-01,1.447631e+01,9.530890e+00,8.779578e-23,7.778340e-04,2.737343e-04
4.576406e-02,1.841632e-01,8.540208e-02,2.903989e+01,8.985800e+00,9.209087e-23,2.736622e-04,6.417088e-04
6.139994e-03,2.313108e-01,4.920438e-01,1.080210e+01,1.316751e+00,6.242685e-23,4.315551e-04,4.719246e-04
5.281508e-03,3.415389e-01,2.768170e-01,1.541394e+01,3.156766e+00,7.262299e-23,2.034938e-04,2.426122e-04
3.381002e-03,1.678957e-01,6.946041e-01,1.162077e+01,7.120097e+00,5.656211e-23,2.945447e-04,3.066482e-04
3.175915e-03,2.457197e-01,7.257028e-01,1.299741e+01,1.284463e+00,8.703258e-23,4.083347e-04,4.612730e-04
4.393147e-03,2.963931e-01,6.959535e-01,1.046183e+01,1.227977e+01,7.733271e-23,3.191845e-04,3.791548e-04
2.774667e-03,3.411551e-01,3.402145e-01,1.516603e+01,2.000819e+00,5.278064e-23,2.004093e-04,3.245906e-04
7.320802e-03,1.735475e-01,3.263326e-01,1.086693e+01,3.439732e+00,8.923834e-23,3.110439e-04,3.057845e-04
2.786585e-02,1.657819e-01,8.104217e-01,2.120911e+01,1.577699e+01,9.830033e-23,2.420103e-04,2.362677e-04
1.125620e-02,2.243023e-01,8.549546e-02,1.289199e+01,5.337645e+00,7.413508e-23,7.834396e-04,5.353204e-04
5.148521e-03,2.003570e-01,8.777247e-01,1.369510e+01,8.230703e+00,9.380430e-23,7.232638e-04,4.834277e-04
7.849972e-03,1.980294e-01,5.883605e-01,3.354168e+01,4.367632e+00,4.827506e-23,2.849234e-04,8.545516e-04
